Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,Yes,Travel_Rarely,1369,Research & Development,7,3,Technical Degree,1,1,4,Male,93,4,2,Research Director,4,Married,8770,20006,0,Y,Yes,11,4,3,80,0,20,0,1,3,1,0,2
42,No,Travel_Rarely,1377,Research & Development,11,2,Life Sciences,1,2,4,Female,91,3,1,Research Director,3,Married,4435,24917,2,Y,No,12,3,1,80,2,19,0,2,14,9,3,4
24,Yes,Travel_Rarely,308,Research & Development,20,1,Other,1,3,2,Male,44,3,2,Research Director,1,Single,4987,24455,4,Y,No,11,3,3,80,3,2,4,3,0,0,0,0
46,No,Travel_Rarely,1350,Sales,1,3,Other,1,4,3,Male,80,2,3,Manager,4,Married,10172,15639,3,Y,No,17,3,3,80,0,25,3,2,0,0,0,0
53,Yes,Travel_Rarely,865,Research & Development,6,4,Other,1,5,1,Male,88,3,4,Manager,3,Married,13037,16337,3,Y,No,14,3,3,80,2,32,3,3,6,2,3,2
38,Yes,Travel_Frequently,1288,Research & Development,2,3,Other,1,6,2,Male,90,4,2,Manufacturing Director,3,Single,6466,16086,5,Y,No,17,4,3,80,0,18,6,2,2,1,1,1
32,No,Travel_Frequently,598,Sales,5,4,Marketing,1,7,3,Male,75,3,4,Sales Representative,4,Single,9898,14562,2,Y,No,11,4,3,80,2,10,0,3,2,0,0,1
41,No,Travel_Rarely,955,Human Resources,10,3,Other,1,8,4,Male,80,3,2,Manager,3,Single,8057,22247,3,Y,Yes,21,4,4,80,1,21,6,2,1,0,0,0
32,No,Travel_Rarely,1362,Sales,27,2,Life Sciences,1,9,3,Male,30,2,1,Sales Representative,2,Single,5460,5437,1,Y,No,21,4,1,80,0,12,3,3,8,3,4,4
30,No,Non-Travel,791,Research & Development,4,3,Medical,1,10,3,Male,64,2,2,Research Director,1,Divorced,6809,4521,2,Y,No,17,3,3,80,0,9,5,3,2,1,0,0
47,No,Travel_Rarely,138,Research & Development,2,4,Life Sciences,1,11,2,Female,41,1,2,Manufacturing Director,1,Married,8432,5534,2,Y,No,17,3,4,80,3,27,4,3,0,0,0,0
42,No,Travel_Frequently,1199,Research & Development,8,2,Life Sciences,1,12,3,Male,87,2,3,Manufacturing Director,3,Single,10071,4633,3,Y,No,14,3,2,80,1,22,1,3,1,0,0,0
32,No,Travel_Rarely,1316,Research & Development,12,5,Life Sciences,1,13,4,Female,54,3,2,Manager,4,Married,5458,2917,3,Y,No,12,3,1,80,0,12,1,3,0,0,0,0
36,Yes,Travel_Frequently,1030,Research & Development,2,3,Other,1,14,3,Female,58,3,4,Laboratory Technician,3,Married,13488,3675,4,Y,No,16,3,1,80,1,16,2,3,16,5,5,15
44,No,Travel_Rarely,1270,Research & Development,14,4,Other,1,15,1,Female,30,3,1,Manufacturing Director,4,Divorced,5605,14432,3,Y,No,15,4,4,80,3,23,0,3,10,3,0,5
39,No,Travel_Rarely,267,Sales,11,2,Marketing,1,16,4,Male,59,2,2,Sales Executive,3,Divorced,8191,6948,3,Y,No,15,3,1,80,0,17,0,3,0,0,0,0
47,Yes,Travel_Rarely,1203,Research & Development,8,3,Other,1,17,1,Male,74,2,2,Research Director,1,Single,7900,18376,1,Y,Yes,13,3,1,80,0,27,3,2,19,12,3,14
29,No,Travel_Rarely,1140,Research & Development,10,3,Medical,1,18,4,Male,93,3,1,Research Scientist,3,Divorced,4283,10246,0,Y,No,12,3,3,80,1,8,1,2,0,0,0,0
22,Yes,Travel_Rarely,1165,Sales,6,3,Marketing,1,19,1,Female,65,3,3,Manager,3,Single,8166,11205,3,Y,No,12,3,3,80,0,2,1,2,2,0,0,1
32,No,Travel_Rarely,430,Research & Development,11,2,Technical Degree,1,20,2,Female,46,3,4,Healthcare Representative,4,Single,10512,21302,1,Y,No,16,3,3,80,1,10,4,3,8,6,2,5
31,No,Travel_Rarely,299,Research & Development,5,3,Medical,1,21,1,Male,35,3,4,Manufacturing Director,2,Divorced,12344,19680,4,Y,No,15,4,3,80,0,11,2,2,6,4,3,2
52,Yes,Travel_Rarely,1335,Sales,5,2,Medical,1,22,3,Female,89,3,5,Manager,1,Divorced,15033,22009,4,Y,No,21,3,3,80,0,32,6,3,6,5,0,2
31,No,Travel_Rarely,1040,Research & Development,5,3,Other,1,23,4,Male,88,3,1,Research Director,4,Married,5381,7065,2,Y,Yes,11,4,4,80,1,9,2,2,6,5,3,3
22,No,Travel_Rarely,1300,Sales,7,4,Medical,1,24,3,Male,95,4,2,Sales Executive,1,Single,4864,8739,0,Y,No,16,3,3,80,0,2,3,2,2,1,0,0
33,No,Travel_Frequently,183,Research & Development,7,3,Technical Degree,1,25,3,Male,31,2,4,Manager,3,Divorced,10745,12206,5,Y,No,12,3,3,80,1,12,6,2,3,2,1,2
34,No,Travel_Rarely,142,Research & Development,10,4,Technical Degree,1,26,3,Female,67,3,3,Laboratory Technician,4,Married,8740,9278,2,Y,No,15,3,3,80,2,14,2,2,2,1,0,1
28,Yes,Non-Travel,1059,Research & Development,2,1,Technical Degree,1,27,1,Male,55,1,3,Healthcare Representative,1,Married,7701,9711,2,Y,No,16,3,3,80,1,8,3,3,0,0,0,0
38,No,Travel_Rarely,238,Sales,25,2,Marketing,1,28,4,Male,77,3,4,Sales Executive,4,Single,11162,10101,9,Y,No,12,4,1,80,1,16,1,3,0,0,0,0
37,No,Non-Travel,849,Research & Development,8,1,Technical Degree,1,29,3,Male,86,3,3,Laboratory Technician,3,Single,9176,2365,4,Y,No,13,3,3,80,2,15,2,3,2,1,0,1
26,No,Travel_Rarely,926,Human Resources,25,1,Life Sciences,1,30,1,Female,70,3,3,Manager,4,Single,8850,12839,5,Y,Yes,20,3,1,80,0,5,3,2,0,0,0,0
33,No,Travel_Frequently,419,Research & Development,1,4,Medical,1,31,3,Female,87,2,3,Research Director,4,Single,7643,3685,1,Y,No,15,3,3,80,3,10,4,3,3,2,1,0
31,Yes,Travel_Frequently,957,Research & Development,1,3,Life Sciences,1,32,4,Female,64,1,4,Research Director,1,Single,11717,3101,2,Y,No,20,3,4,80,0,9,3,3,9,7,4,7
36,No,Travel_Rarely,140,Research & Development,29,1,Life Sciences,1,33,3,Male,44,1,3,Laboratory Technician,4,Divorced,9221,11172,4,Y,No,18,3,4,80,0,13,1,1,0,0,0,0
32,No,Travel_Rarely,479,Sales,10,2,Medical,1,34,4,Male,32,2,3,Sales Representative,2,Divorced,8570,17345,3,Y,No,20,3,4,80,0,12,1,3,12,3,5,11
40,Yes,Travel_Rarely,690,Research & Development,29,3,Technical Degree,1,35,1,Female,55,3,2,Manager,4,Single,6718,19395,7,Y,No,14,3,2,80,0,20,1,3,0,0,0,0
